paper_id,ambiguous_group,author_name,coauthors,title,abstract,keywords,venue,year,ground_truth_label,source_dataset
P2-1023,A. Gupta,Amit Gupta,Riccardo Bettati,dynam resourc alloc migrat multiparti real time commun,,,Icdcs,1996,agupta-11,DBLP_benchmark_14
P2-1999,A. Gupta,Amit Gupta,Riccardo Bettati; Domenico Ferrari; W. Heffner; Wingwai Howe; Mark Moran; Quyen Nguyen; Rajendra Yavatkar,connect establish multi parti real time commun,,,Nossdav,1995,agupta-11,DBLP_benchmark_14
P2-2000,A. Gupta,Amit Gupta,Domenico Ferrari; Giorgio Ventre,distribut advanc reserv real time connect,,,Nossdav,1995,agupta-11,DBLP_benchmark_14
P2-1592,A. Gupta,Amit Gupta,Wingwai Howe; Mark Moran; Quyen Nguyen,resourc share multi parti real time commun,,,Infocom,1995,agupta-11,DBLP_benchmark_14
P2-3568,A. Gupta,Amit Gupta,Domenico Ferrari; Giorgio Ventre,distribut advanc reserv real time connect,,,Multimedia Syst.,1997,agupta-11,DBLP_benchmark_14
P2-4049,A. Gupta,Amit Gupta,Domenico Ferrari,resourc partit real time commun,,,Ieee/Acm Trans. Netw.,1995,agupta-11,DBLP_benchmark_14
P2-1197,A. Gupta,Amit Gupta,Kurt Rothermel,failur recoveri multi parti real time commun,,,Icmcs,1996,agupta-11,DBLP_benchmark_14
P2-2964,A. Gupta,Arobinda Gupta,Sukumar Ghosh; Sriram V. Pemmaraju,stabil algorithm maximum flow problem,,,Distributed Computing,1997,agupta-12,DBLP_benchmark_14
P2-867,A. Gupta,Arobinda Gupta,Animesh Nandi,estim link characterist internet path fpathchar,,,International Conference On Internet Computing,2003,agupta-12,DBLP_benchmark_14
P2-1905,A. Gupta,Arobinda Gupta,Somnath Banerjee; Anupam Basu,onlin transcod web page mobil devic,,,Mobile Hci,2003,agupta-12,DBLP_benchmark_14
P2-291,A. Gupta,Arobinda Gupta,Umesh Deshpande; Anupam Basu,adapt fault toler hospit resourc schedul,,,Coopis/Doa/Odbase,2002,agupta-12,DBLP_benchmark_14
P2-4116,A. Gupta,Arobinda Gupta,Umesh Deshpande; Anupam Basu,coordin problem solv resourc share distribut environ,,,"Ieee Trans. Systems, Man, And Cybernetics, Part B",2004,agupta-12,DBLP_benchmark_14
P2-2067,A. Gupta,Arobinda Gupta,Himadri Sekhar Paul; R. Badrinath,heterogen checkpoint recoveri protocol cluster base distribut system,,,Pdpta,2003,agupta-12,DBLP_benchmark_14
P2-2928,A. Gupta,Arobinda Gupta,Himadri Sekhar Paul; R. Badrinath,perform comparison checkpoint recoveri protocol,,,Concurrency And Computation: Practice And Experience,2003,agupta-12,DBLP_benchmark_14
P2-2184,A. Gupta,Arobinda Gupta,Sukumar Ghosh; Sriram V. Pemmaraju,fault network protocol,,,Sac,1997,agupta-12,DBLP_benchmark_14
P2-2095,A. Gupta,Arobinda Gupta,Sukumar Ghosh; Ted Herman; Sriram V. Pemmaraju,fault stabil algorithm,,,Podc,1996,agupta-12,DBLP_benchmark_14
P2-3256,A. Gupta,Arobinda Gupta,Sukumar Ghosh,exercis fault stabil leader elect,,,Inf. Process. Lett.,1996,agupta-12,DBLP_benchmark_14
P2-991,A. Gupta,Alok Gupta,Thomas O'Donnell; Marie-Pierre Dubuisson-Jolly,cooper framework segment d activ contour d hybrid model appli branch cylindr structur,,,Iccv,1998,agupta-13,DBLP_benchmark_14
P2-986,A. Gupta,Alok Gupta,Marie-Pierre Dubuisson-Jolly; Cheng-Chung Liang,optim polylin track arteri motion compens coronari angiographi,,,Iccv,1998,agupta-13,DBLP_benchmark_14
P2-352,A. Gupta,Alok Gupta,Thomas O'Donnell; Terrance E. Boult,model recoveri cylindr structur medic imag data,,,Cvrmed,1997,agupta-13,DBLP_benchmark_14
P2-3592,A. Gupta,Alok Gupta,Bir Bhanu; Terrance E. Boult; David Michael,introduct special issu innov applic comput vision,,,Mach. Vis. Appl.,2002,agupta-13,DBLP_benchmark_14
P2-349,A. Gupta,Alok Gupta,Thomas O'Donnell; Terrance E. Boult,global model parametr offset appli cardiac motion recoveri,,,Cvpr,1996,agupta-13,DBLP_benchmark_14
P2-342,A. Gupta,Alok Gupta,Gareth Funka-Lea,hybrid model recov cardiac wall motion tag mr imag,,,Cvpr,1996,agupta-13,DBLP_benchmark_14
P2-348,A. Gupta,Alok Gupta,Thomas O'Donnell; Shmuel Aharon; Gareth Funka-Lea; Sandra Simon Halliburton; Richard D. White,multi modal model base registr cardiac domain,,,Cvpr,2000,agupta-13,DBLP_benchmark_14
P2-3680,A. Gupta,Anil K. Gupta,Jeremy P. Chew,fair perform dynam weight atm abr servic,,,Perform. Eval.,2001,agupta-14,DBLP_benchmark_14
P2-896,A. Gupta,Anil K. Gupta,Jeremy P. Chew,improv fair long vc activ fair atm abr servic,,,Icc (3),2000,agupta-14,DBLP_benchmark_14
P2-898,A. Gupta,Anil K. Gupta,Xiaoqun Wang,control isochron traffic crma atm interwork,,,Icc (3),1997,agupta-14,DBLP_benchmark_14
P2-1228,A. Gupta,Anil K. Gupta,Md. Shamsuzzaman; Bu-Sung Lee,consolid algorithm point multipoint abr servic atm network,,,Icn (2),2001,agupta-14,DBLP_benchmark_14
P2-1590,A. Gupta,Anil K. Gupta,Nicolas D. Georganas,analysi packet switch input output buffer speed constraint,,,Infocom,1991,agupta-14,DBLP_benchmark_14
P2-1591,A. Gupta,Anil K. Gupta,Nicolas D. Georganas,prioriti perform atm packet switch,,,Infocom,1992,agupta-14,DBLP_benchmark_14
P2-2869,A. Gupta,Anil K. Gupta,Luis Orozco-Barbosa; Nicolas D. Georganas,switch modul atm switch system interconnect network,,,Computer Networks And Isdn Systems,1993,agupta-14,DBLP_benchmark_14
P2-3232,A. Gupta,Alok Gupta,Boris Jukic; Manoj Parameswaran; Dale O. Stahl; Andrew B. Whinston,streamlin digit economi avert tragedi common,,,Ieee Internet Computing,1997,agupta-15,DBLP_benchmark_14
P2-2774,A. Gupta,Alok Gupta,Dale O. Stahl; Andrew B. Whinston,econom network manag,,,Commun. Acm,1999,agupta-15,DBLP_benchmark_14
P2-225,A. Gupta,Alok Gupta,Prabhudev Konana; Andrew B. Whinston,research issu real time dbm context electron commerc,,,Dart@Cikm,1996,agupta-15,DBLP_benchmark_14
P2-769,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,simul onlin yanke auction optim seller revenu,,,Hicss,2001,agupta-15,DBLP_benchmark_14
P2-3322,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,theoret empir investig multi item line auction,,,Information Technology And Management,2000,agupta-15,DBLP_benchmark_14
P2-3167,A. Gupta,Alok Gupta,Ramnath K. Chellappa,manag comput resourc activ intranet,,,Int. Journal Of Network Management,2002,agupta-15,DBLP_benchmark_14
P2-3019,A. Gupta,Alok Gupta,Andrew N. K. Chen; Paulo B. Goes; James R. Marsden,databas design modern organ identifi robust structur chang queri pattern arriv rate condit,,,Decision Support Systems,2004,agupta-15,DBLP_benchmark_14
P2-2765,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,insight analys onlin auction,,,Commun. Acm,2001,agupta-15,DBLP_benchmark_14
P2-777,A. Gupta,Alok Gupta,Ram D. Gopal,minitrack introduct,,,Hicss,2002,agupta-15,DBLP_benchmark_14
P2-3561,A. Gupta,Alok Gupta,Ram D. Gopal,trade higher softwar piraci higher profit case phantom piraci,,,Management Science,2010,agupta-15,DBLP_benchmark_14
P2-3323,A. Gupta,Alok Gupta,Leigh L. Linden; Dale O. Stahl; Andrew B. Whinston,benefit cost adopt usag base price subnetwork,,,Information Technology And Management,2001,agupta-15,DBLP_benchmark_14
P2-3017,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,compar analysi multi item onlin auction evid laboratori,,,Decision Support Systems,2001,agupta-15,DBLP_benchmark_14
P2-3560,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,analysi design busi consum onlin auction,,,Management Science,2003,agupta-15,DBLP_benchmark_14
P2-3015,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes; Gilbert G. Karuga,optim design onlin auction channel analyt empir comput insight,,,Decision Sciences,2002,agupta-15,DBLP_benchmark_14
P2-3321,A. Gupta,Alok Gupta,Ravi Bapna; Paulo B. Goes,replic onlin yanke auction analyz auction bidder strategi,,,Information Systems Research,2003,agupta-15,DBLP_benchmark_14
P2-595,A. Gupta,Alok Gupta,Bo-Chiuan Su; Zhiping D. Walter,econom analysi consum purchas intent electron tradit retail channel competit strateg implic,,,Eee,2004,agupta-15,DBLP_benchmark_14
P2-3079,A. Gupta,Alok Gupta,Y. Alex Tung; James R. Marsden,digit signatur modif achiev success gener e busi process,,,Information & Management,2004,agupta-15,DBLP_benchmark_14
P2-3020,A. Gupta,Alok Gupta,Dale O. Stahl; Andrew B. Whinston,manag comput resourc intranet electron commerc perspect,,,Decision Support Systems,1998,agupta-15,DBLP_benchmark_14
P2-3465,A. Gupta,Alok Gupta,Boris Jukic; Dale O. Stahl; Andrew B. Whinston,extract consum privat inform implement incent compat internet traffic price,,,J. Of Management Information Systems,2000,agupta-15,DBLP_benchmark_14
P2-179,A. Gupta,Anubhav Gupta,Poul Frederick Williams; Armin Biere; Edmund M. Clarke,combin decis diagram sat procedur effici symbol model check,,,Cav,2000,agupta-16,DBLP_benchmark_14
P2-176,A. Gupta,Anubhav Gupta,Edmund M. Clarke; James H. Kukula; Ofer Strichman,sat base abstract refin ilp machin learn techniqu,,,Cav,2002,agupta-16,DBLP_benchmark_14
P2-376,A. Gupta,Anubhav Gupta,Aarti Gupta; Zijiang Yang; Pranav Ashar,dynam detect remov inact claus sat applic imag comput,,,Dac,2001,agupta-16,DBLP_benchmark_14
P2-664,A. Gupta,Anubhav Gupta,Aarti Gupta; Zijiang Yang; Pranav Ashar,sat base imag comput applic reachabl analysi,,,Fmcad,2000,agupta-16,DBLP_benchmark_14
P2-754,A. Gupta,Anubhav Gupta,Ram Suryanarayan; Travis N. Blalock,slew rate enhanc techniqu oper amplifi base tunabl activ gm base capacit multipl circuit,,,Acm Great Lakes Symposium On Vlsi,2003,agupta-16,DBLP_benchmark_14
P2-928,A. Gupta,Avaneendra Gupta,John P. Hayes,width minim dimension cmo cell integ program,,,Iccad,1996,agupta-17,DBLP_benchmark_14
P2-929,A. Gupta,Avaneendra Gupta,John P. Hayes,optim d cell layout integr transistor fold,,,Iccad,1998,agupta-17,DBLP_benchmark_14
P2-377,A. Gupta,Avaneendra Gupta,John P. Hayes,clip optim layout gener dimension cmo cell,,,Dac,1997,agupta-17,DBLP_benchmark_14
P2-4019,A. Gupta,Avaneendra Gupta,John P. Hayes,clip integ program base optim layout synthesi d cmo cell,,,Acm Trans. Design Autom. Electr. Syst.,2000,agupta-17,DBLP_benchmark_14
P2-2281,A. Gupta,Ashish Kumar Gupta,Surajit Chaudhuri; Vivek R. Narasayya,compress sql workload,,,Sigmod Conference,2002,agupta-18,DBLP_benchmark_14
P2-2580,A. Gupta,Ashish Kumar Gupta,Alon Y. Halevy; Dan Suciu,view select stream process,,,Webdb,2002,agupta-18,DBLP_benchmark_14
P2-2287,A. Gupta,Ashish Kumar Gupta,Dan Suciu,stream process xpath queri predic,,,Sigmod Conference,2003,agupta-18,DBLP_benchmark_14
P2-2102,A. Gupta,Ashish Kumar Gupta,Dan Suciu; Alon Y. Halevy,view select problem xml content base rout,,,Pods,2003,agupta-18,DBLP_benchmark_14
P2-535,A. Gupta,Anurag Gupta,Kanad Chakraborty; Pinaki Mazumder,silicon compil fault toler rom,,,Dft,1998,agupta-19,DBLP_benchmark_14
P2-427,A. Gupta,Anurag Gupta,Kanad Chakraborty; Mayukh Bhattacharya; Shriram Kulkarni; Pinaki Mazumder,physic design tool built repair static ram,,,Date,1999,agupta-19,DBLP_benchmark_14
P2-2642,A. Gupta,Anurag Gupta,Larry Whitman; Ramesh K. Agarwal,suppli chain agent decis aid system scada,,,Winter Simulation Conference,2001,agupta-19,DBLP_benchmark_14
P2-107,A. Gupta,Anoop Gupta,Rohit Chandra; Scott Devine; Ben Verghese; Mendel Rosenblum,schedul page migrat multiprocessor comput server,,,Asplos,1994,agupta-1,DBLP_benchmark_14
P2-2266,A. Gupta,Anoop Gupta,John Chapin; Stephen Alan Herrod; Mendel Rosenblum,memori system perform unix cc numa multiprocessor,,,Sigmetrics,1995,agupta-1,DBLP_benchmark_14
P2-3868,A. Gupta,Anoop Gupta,Wolf-Dietrich Weber,cach invalid pattern share memori multiprocessor,,,Ieee Trans. Computers,1992,agupta-1,DBLP_benchmark_14
P2-1681,A. Gupta,Anoop Gupta,David R. Cheriton; Patrick D. Boyle; Hendrik A. Goosen,vmp multiprocessor initi experi refin perform evlauat,,,Isca,1988,agupta-1,DBLP_benchmark_14
P2-1712,A. Gupta,Anoop Gupta,Wolf-Dietrich Weber,explor benefit multipl hardwar context multiprocessor architectur preliminari result,,,Isca,1989,agupta-1,DBLP_benchmark_14
P2-1684,A. Gupta,Anoop Gupta,Kourosh Gharachorloo; Daniel Lenoski; James Laudon; Phillip B. Gibbons; John L. Hennessy,memori consist event order scalabl share memori multiprocessor,,,Isca,1990,agupta-1,DBLP_benchmark_14
P2-1932,A. Gupta,Anoop Gupta,Ross Cutler; Yong Rui; Jonathan J. Cadiz; Ivan Tashev; Li-Wei He; Alex Colburn; Zhengyou Zhang; Zicheng Liu; Steve Silverberg,distribut meet meet captur broadcast system,,,Acm Multimedia,2002,agupta-1,DBLP_benchmark_14
P2-120,A. Gupta,Anoop Gupta,Wolf-Dietrich Weber,analysi cach invalid pattern multiprocessor,,,Asplos,1989,agupta-1,DBLP_benchmark_14
P2-1695,A. Gupta,Anoop Gupta,Daniel Lenoski; James Laudon; Kourosh Gharachorloo; John L. Hennessy,directori base cach coher protocol dash multiprocessor,,,Isca,1990,agupta-1,DBLP_benchmark_14
P2-1315,A. Gupta,Anoop Gupta,Wolf-Dietrich Weber; Todd C. Mowry,reduc memori traffic requir scalabl directori base cach coher scheme,,,Icpp (1),1990,agupta-1,DBLP_benchmark_14
P2-4086,A. Gupta,Anoop Gupta,Daniel Lenoski; James Laudon; Truman Joe; David Nakahira; Luis Stevens; John L. Hennessy,dash prototyp logic overhead perform,,,Ieee Trans. Parallel Distrib. Syst.,1993,agupta-1,DBLP_benchmark_14
P2-1696,A. Gupta,Anoop Gupta,Daniel Lenoski; James Laudon; Truman Joe; David Nakahira; Luis Stevens; John L. Hennessy,dash prototyp implement perform,,,Isca,1992,agupta-1,DBLP_benchmark_14
P2-2910,A. Gupta,Anoop Gupta,Daniel Lenoski; James Laudon; Kourosh Gharachorloo; Wolf-Dietrich Weber; John L. Hennessy; Mark Horowitz; Monica S. Lam,stanford dash multiprocessor,,,Ieee Computer,1992,agupta-1,DBLP_benchmark_14
P2-2273,A. Gupta,Anoop Gupta,Margaret Martonosi; Thomas E. Anderson,effect trace sampl perform debug tool,,,Sigmetrics,1993,agupta-1,DBLP_benchmark_14
P2-2272,A. Gupta,Anoop Gupta,Margaret Martonosi; Thomas E. Anderson,memspi analyz memori system bottleneck program,,,Sigmetrics,1992,agupta-1,DBLP_benchmark_14
P2-2912,A. Gupta,Anoop Gupta,Margaret Martonosi; Thomas E. Anderson,tune memori perform sequenti parallel program,,,Ieee Computer,1995,agupta-1,DBLP_benchmark_14
P2-1711,A. Gupta,Anoop Gupta,Per Stenstrom; Truman Joe,compar perform evalu cach coher numa coma architectur,,,Isca,1992,agupta-1,DBLP_benchmark_14
P2-1342,A. Gupta,Anoop Gupta,Margaret Martonosi,tradeoff messag pass share memori implement standard cell router,,,Icpp (3),1989,agupta-1,DBLP_benchmark_14
P2-9,A. Gupta,Anoop Gupta,Milind Tambe,suitabl messag pass comput implement product system,,,Aaai,1988,agupta-1,DBLP_benchmark_14
P2-2353,A. Gupta,Anoop Gupta,John Chapin; Mendel Rosenblum; Scott Devine; Tirthankar Lahiri; Dan Teodosiu,hive fault share memori multiprocessor,,,Sosp,1995,agupta-1,DBLP_benchmark_14
P2-2788,A. Gupta,Anoop Gupta,Mendel Rosenblum; John Chapin; Dan Teodosiu; Scott Devine; Tirthankar Lahiri,implement effici fault multiprocessor confin fault share memori multiprocessor environ,,,Commun. Acm,1996,agupta-1,DBLP_benchmark_14
P2-1714,A. Gupta,Anoop Gupta,Steven Cameron Woo; Moriyoshi Ohara; Evan Torrie; Jaswinder Pal Singh,splash program character methodolog,,,Isca,1995,agupta-1,DBLP_benchmark_14
P2-2277,A. Gupta,Anoop Gupta,Josep Torrellas; Andrew Tucker,benefit cach affin schedul share memori multiprocessor summari,,,Sigmetrics,1993,agupta-1,DBLP_benchmark_14
P2-3515,A. Gupta,Anoop Gupta,Josep Torrellas; Andrew Tucker,evalu perform cach affin schedul share memori multiprocessor,,,J. Parallel Distrib. Comput.,1995,agupta-1,DBLP_benchmark_14
P2-2119,A. Gupta,Anoop Gupta,Andrew Tucker,exploit variabl grain parallel runtim,,,Ppopp/Ppeals,1988,agupta-1,DBLP_benchmark_14
P2-2358,A. Gupta,Anoop Gupta,Andrew Tucker,process control schedul issu multiprogram share memori multiprocessor,,,Sosp,1989,agupta-1,DBLP_benchmark_14
P2-2269,A. Gupta,Anoop Gupta,Andrew Tucker; Shigeru Urushibara,impact oper system schedul polici synchron method perform parallel applic,,,Sigmetrics,1991,agupta-1,DBLP_benchmark_14
P2-8,A. Gupta,Anoop Gupta,Charles Forgy; Allen Newell; Robert G. Wedig,initi assess architectur product system,,,Aaai,1984,agupta-1,DBLP_benchmark_14
P2-3489,A. Gupta,Anoop Gupta,Charles Forgy,static run time characterist op product system,,,J. Parallel Distrib. Comput.,1989,agupta-1,DBLP_benchmark_14
P2-1468,A. Gupta,Anoop Gupta,Rohit Chandra; Kourosh Gharachorloo; Vijayaraghavan Soundararajan,perform evalu hybrid hardwar softwar distribut share memori protocol,,,International Conference On Supercomputing,1994,agupta-1,DBLP_benchmark_14
P2-109,A. Gupta,Anoop Gupta,Kourosh Gharachorloo; John L. Hennessy,perform evalu memori consist model share memori multiprocessor,,,Asplos,1991,agupta-1,DBLP_benchmark_14
P2-317,A. Gupta,Anoop Gupta,Liwei He; Jonathan Grudin,design present demand view,,,Cscw,2000,agupta-1,DBLP_benchmark_14
P2-1685,A. Gupta,Anoop Gupta,Charles Forgy; Allen Newell; Robert G. Wedig,parallel algorithm architectur rule base system,,,Isca,1986,agupta-1,DBLP_benchmark_14
P2-3507,A. Gupta,Anoop Gupta,Todd C. Mowry,toler latenc softwar control prefetch share memori multiprocessor,,,J. Parallel Distrib. Comput.,1991,agupta-1,DBLP_benchmark_14
P2-1687,A. Gupta,Anoop Gupta,Ziyad S. Hakura,design analysi cach architectur textur map,,,Isca,1997,agupta-1,DBLP_benchmark_14
P2-111,A. Gupta,Anoop Gupta,Mark Heinrich; Jeffrey Kuskin; David Ofelt; John Heinlein; Joel Baxter; Jaswinder Pal Singh; Richard Simoni; Kourosh Gharachorloo; David Nakahira; Mark Horowitz; Mendel Rosenblum; John L. Hennessy,perform impact flexibl stanford flash multiprocessor,,,Asplos,1994,agupta-1,DBLP_benchmark_14
P2-1939,A. Gupta,Anoop Gupta,Yong Rui; Li-Wei He; Qiong Liu,build intellig camera manag system,,,Acm Multimedia,2001,agupta-1,DBLP_benchmark_14
P2-1692,A. Gupta,Anoop Gupta,Jeffrey Kuskin; David Ofelt; Mark Heinrich; John Heinlein; Richard Simoni; Kourosh Gharachorloo; John Chapin; David Nakahira; Joel Baxter; Mark Horowitz; Mendel Rosenblum; John L. Hennessy,stanford flash multiprocessor,,,Isca,1994,agupta-1,DBLP_benchmark_14
P2-18,A. Gupta,Anoop Gupta,P. Pandurang Nayak; Paul S. Rosenbloom,comparison rete treat product matcher soar,,,Aaai,1988,agupta-1,DBLP_benchmark_14
P2-4015,A. Gupta,Anoop Gupta,Charles Forgy; Allen Newell,high speed implement rule base system,,,Acm Trans. Comput. Syst.,1989,agupta-1,DBLP_benchmark_14
P2-1313,A. Gupta,Anoop Gupta,Charles Forgy; Dirk Kalp; Allen Newell; Milind Tambe,parallel op encor multimax,,,Icpp (1),1988,agupta-1,DBLP_benchmark_14
P2-2122,A. Gupta,Anoop Gupta,Milind Tambe; Dirk Kalp; Charles Forgy; Brian Milnes; Allen Newell,soar psm e investig match parallel learn product system,,,Ppopp/Ppeals,1988,agupta-1,DBLP_benchmark_14
P2-2367,A. Gupta,Anoop Gupta,Jaswinder Pal Singh; Edward Rothberg,model commun parallel algorithm fruit interact theori system,,,Spaa,1994,agupta-1,DBLP_benchmark_14
P2-1934,A. Gupta,Anoop Gupta,Liwei He,explor benefit linear time compress,,,Acm Multimedia,2001,agupta-1,DBLP_benchmark_14
P2-1935,A. Gupta,Anoop Gupta,Liwei He; Elizabeth Sanocki; Jonathan Grudin,auto summar audio video present,,,Acm Multimedia (1),1999,agupta-1,DBLP_benchmark_14
P2-1639,A. Gupta,Anoop Gupta,John Heinlein; Kourosh Gharachorloo; Robert P. Bosch Jr.; Mendel Rosenblum,coher block data transfer flash multiprocessor,,,Ipps,1997,agupta-1,DBLP_benchmark_14
P2-110,A. Gupta,Anoop Gupta,John Heinlein; Kourosh Gharachorloo; Scott Dresser,integr messag pass share memori stanford flash multiprocessor,,,Asplos,1994,agupta-1,DBLP_benchmark_14
P2-117,A. Gupta,Anoop Gupta,Josep Torrellas; John L. Hennessy,character cach synchron perform multiprocessor oper system,,,Asplos,1992,agupta-1,DBLP_benchmark_14
P2-2902,A. Gupta,Anoop Gupta,Rohit Chandra; John L. Hennessy,cool object base languag parallel program,,,Ieee Computer,1994,agupta-1,DBLP_benchmark_14
P2-1686,A. Gupta,Anoop Gupta,John L. Hennessy; Kourosh Gharachorloo; Todd C. Mowry; Wolf-Dietrich Weber,compar evalu latenc reduc toler techniqu,,,Isca,1991,agupta-1,DBLP_benchmark_14
P2-2117,A. Gupta,Anoop Gupta,Rohit Chandra; John L. Hennessy,data local load balanc cool,,,Ppopp,1993,agupta-1,DBLP_benchmark_14
P2-1572,A. Gupta,Anoop Gupta,Edward Rothberg,experi implement parallel atm share memori multiprocessor,,,Ijcai,1989,agupta-1,DBLP_benchmark_14
P2-1683,A. Gupta,Anoop Gupta,Kourosh Gharachorloo; John L. Hennessy,hide memori latenc dynam schedul share memori multiprocessor,,,Isca,1992,agupta-1,DBLP_benchmark_14
P2-3870,A. Gupta,Anoop Gupta,Mark Heinrich; Vijayaraghavan Soundararajan; John L. Hennessy,quantit analysi perform scalabl distribut share memori,,,Ieee Trans. Computers,1999,agupta-1,DBLP_benchmark_14
P2-1698,A. Gupta,Anoop Gupta,Edward Rothberg; Jaswinder Pal Singh,work set cach size node granular issu larg scale multiprocessor,,,Isca,1993,agupta-1,DBLP_benchmark_14
P2-2035,A. Gupta,Anoop Gupta,,stanford dash multiprocessor hardwar softwar approach,,,Parle,1992,agupta-1,DBLP_benchmark_14
P2-3676,A. Gupta,Anoop Gupta,Edward Rothberg,parallel iccg hierarch memori multiprocessor address triangular solv bottleneck,,,Parallel Computing,1992,agupta-1,DBLP_benchmark_14
P2-1938,A. Gupta,Anoop Gupta,Yong Rui; Alex Acero,automat extract highlight tv basebal program,,,Acm Multimedia,2000,agupta-1,DBLP_benchmark_14
P2-2218,A. Gupta,Anoop Gupta,Edward Rothberg,techniqu improv perform spars matrix factor multiprocessor workstat,,,Sc,1990,agupta-1,DBLP_benchmark_14
P2-4061,A. Gupta,Anoop Gupta,Anurag Acharya; Milind Tambe,implement product system messag pass comput,,,Ieee Trans. Parallel Distrib. Syst.,1992,agupta-1,DBLP_benchmark_14
P2-2219,A. Gupta,Anoop Gupta,Edward Rothberg,effici block orient approach parallel spars choleski factor,,,Sc,1993,agupta-1,DBLP_benchmark_14
P2-2263,A. Gupta,Anoop Gupta,Anant Agarwal,memori refer characterist multiprocessor applic mach,,,Sigmetrics,1988,agupta-1,DBLP_benchmark_14
P2-1191,A. Gupta,Anoop Gupta,Navin Chaddha; Avneesh Agrawal; Teresa H. Y. Meng,variabl compress jpeg,,,Icmcs,1994,agupta-1,DBLP_benchmark_14
P2-315,A. Gupta,Anoop Gupta,Jonathan J. Cadiz; Anand Balachandran; Elizabeth Sanocki; Jonathan Grudin; Gavin Jancke,distanc learn distribut collabor video view,,,Cscw,2000,agupta-1,DBLP_benchmark_14
P2-203,A. Gupta,Anoop Gupta,Francis C. Li; Elizabeth Sanocki; Li-Wei He; Yong Rui,brows digit video,,,Chi,2000,agupta-1,DBLP_benchmark_14
P2-1,A. Gupta,Anoop Gupta,Franz Barachini; Hans Mistelberger,run time predict product system,,,Aaai,1992,agupta-1,DBLP_benchmark_14
P2-2863,A. Gupta,Anoop Gupta,David Bargeron; Jonathan Grudin; Elizabeth Sanocki,annot stream video web system design usag studi,,,Computer Networks,1999,agupta-1,DBLP_benchmark_14
P2-200,A. Gupta,Anoop Gupta,Liwei He; Elizabeth Sanocki; Jonathan Grudin,compar present summari slide read listen,,,Chi,2000,agupta-1,DBLP_benchmark_14
